stop_id,stop_name,stop_lat,stop_lon,location_type
15971,"Glorieta Kalia",21.0204261,-89.5980497,0
16670,"Av. Yucatan x 18",21.0190510,-89.5684290,0
15504,"Fin de ruta",20.9913979,-89.6762681,0
17160,"Algarrobos 64",21.0485750,-89.5953480,0
15904,"UTM",20.9380268,-89.6158545,0
16626,"​Dirección de Transporte",20.9220370,-89.6872230,0
14491,"Vergel",20.9507692,-89.5692161,0
16709,"Centro Acuático Ciudad Caucel",21.0064320,-89.7094650,0
16733,"Walmart Caucel",20.9964140,-89.6750210,0
16007,"Instituto Tecnológico de Mérida",21.0155843,-89.6247112,0
17013,"Inicio de ruta",20.9622311,-89.6229243,0
16249,"El Niplito Las Américas",21.0650700,-89.6438300,0
16285,"Super Akí Las Américas",21.0691800,-89.6611600,0
16531,"Coliseo Yucatán",21.0884300,-89.6373700,0
16637,"DIF Yucatán",20.9889410,-89.6083270,0
16225,"C-55 Diag. x 100-2 Fracc. Las Américas",21.0740200,-89.6559700,0
16532,"Puente de Komchén",21.1034300,-89.6389100,0
16448,"C-20-A x 13 Col. Chuburna de Hidalgo",21.0184300,-89.6343700,0
16341,"C-41 x Av Itzaes Col. Centro",20.9821857,-89.6391737,0
16735,"Av. Jacinto Canek x 59",20.9944330,-89.6712070,0
16553,"Suites Mérida",21.0327394,-89.6300704,0
16279,"Instituto Comercial Bancarios",20.9770700,-89.6227000,0
16359,"Instituto Universitario de Yucatán IUDY",20.9942700,-89.6354700,0
15924,"Av. Universidad Pedagógica x 15-E",20.9570320,-89.5826510,0
17061,"UTM",20.9382550,-89.6156810,0
17152,"UNAY",20.9740453,-89.6134834,0
17116,"Estación Teya",20.9302398,-89.5150356,0
15991,"ISSSTE Lindavista",21.0124144,-89.6563452,0
16265,"Walmart Tecnológico",21.0093500,-89.6233500,0
16206,"Glorieta Las Palmas",21.0393500,-89.6420100,0
16479,"Parque La Capilla",21.0325100,-89.6490100,0
16089,"Glorieta Rotary Internacional",21.0046777,-89.5812325,0
16604,"​Parque Ecológico del Poniente",20.9742480,-89.6559090,0
15996,"Soriana Av. Mérida 2000",20.9726127,-89.6637911,0
16814,"C-31 x 76 Fracc. Ciudad Caucel",21.0049570,-89.6971810,0
16449,"C-13 x 20 Col. Chuburna de Hidalgo",21.0192000,-89.6331600,0
16574,"Av. Tecnológico x Circuito Colonias",20.9990920,-89.6215779,0
16349,"Estacion de Bomberos No.11",20.9800100,-89.6265500,0
16094,"Av. Correa Rachó x 9",21.0055184,-89.5910119,0
16534,"C-31 x 14 Comisaria de Komchén",21.1043600,-89.6482400,0
15798,"Fin de ruta",20.9691840,-89.6214491,0
17078,"Cto. Colonias x 64",20.9379090,-89.6318690,0
16281,"Plaza Galerias",21.0391700,-89.6288200,0
15968,"Plaza Fiesta",20.9991380,-89.5969420,0
16087,"C-33 Diag. x 33 Itzimná Polígono 108",21.0016710,-89.5732690,0
16994,"San Lorenzo",20.8954850,-89.7335100,0
16189,"Glorieta Palmitas",21.0695800,-89.6688900,0
16026,"C-20 x 20-A Chuburná",21.0161904,-89.6320499,0
